texto,clase,tipo,origen,
"La comodidad de los dispositivos conectados, desde aspiradoras robot hasta sistemas de seguridad inteligentes, ha transformado nuestros hogares en verdaderas redes interconectadas. Sin embargo, esta conveniencia viene acompañada de una creciente vulnerabilidad: la ciberseguridad doméstica. Lo que antes era un asunto de grandes corporaciones y gobiernos, ahora afecta directamente a los usuarios comunes, cuyas lavadoras, televisores o incluso juguetes infantiles pueden convertirse en puertas de entrada para ciberdelincuentes. Este artículo desglosa los riesgos más comunes asociados a la falta de protección en el hogar digital y ofrece consejos prácticos para fortificar la seguridad de tu red doméstica, protegiendo así tu privacidad y tus datos personales de amenazas invisibles pero muy reales.",ia,articulo,Gemini 2.5 Flash - Ciberseguridad Doméstica: Cuando tu Hogar se Convierte en un Objetivo,
"En un mundo saturado de dietas de moda y suplementos milagrosos, un movimiento creciente de nutricionistas y entusiastas de la salud está volviendo la mirada hacia el pasado, proponiendo un redescubrimiento de la dieta ancestral. Este enfoque se basa en la premisa de que nuestros cuerpos están mejor adaptados a los alimentos que nuestros antepasados consumían antes de la revolución agrícola y la industrialización. Hablamos de una alimentación rica en proteínas magras, grasas saludables, frutas, verduras y tubérculos, y un rechazo a los alimentos procesados, los azúcares refinados y los cereales modernos. Pero, ¿es realmente factible y beneficioso emular la alimentación de la Edad de Piedra en el siglo XXI, o se trata de una idealización romántica de un pasado nutricional complejo?",ia,articulo,Gemini 2.5 Flash - El Redescubrimiento de la Dieta Ancestral: ¿Volver al Origen para una Vida Saludable?,
"La computación cuántica promete cambiar la forma en que procesamos información, resolviendo problemas que las computadoras tradicionales tardarían siglos en descifrar. Empresas y gobiernos están invirtiendo en su desarrollo, pero aún existen desafíos técnicos y teóricos por superar. ¿Cuándo veremos su impacto en la vida cotidiana? Aunque aún es pronto para predicciones definitivas, los avances en este campo sugieren que estamos más cerca de una nueva era informática de lo que imaginamos.",ia,articulo,"Copilot Fast - Tecnología - ""La revolución de la computación cuántica""",
"La resiliencia es una cualidad fundamental para superar adversidades. Estudios en psicología han demostrado que quienes desarrollan esta capacidad logran manejar el estrés y adaptarse mejor a los cambios. ¿Se trata de una habilidad innata o puede cultivarse? La respuesta radica en el entrenamiento mental, el apoyo social y la construcción de una perspectiva positiva ante los desafíos. En tiempos de incertidumbre, la resiliencia no solo es deseable, sino esencial para el bienestar emocional.",ia,articulo,"Copilot Fast - Psicología - ""El poder de la resiliencia en tiempos de crisis""",
"El auge de la automatización y la inteligencia artificial ha transformado el mercado laboral, eliminando ciertos empleos y creando otros. Mientras algunos temen la desaparición de puestos tradicionales, otros ven una oportunidad para innovar y adaptarse. La educación y la formación profesional serán claves en esta transición, pero ¿estamos preparados para el cambio? Más allá de los avances tecnológicos, la evolución del trabajo dependerá de políticas económicas y sociales que fomenten una integración equilibrada entre máquinas y humanos.",ia,articulo,"Copilot Fast - Economía - ""La evolución del trabajo en la era digital""",
"No sabía exactamente qué buscaba cuando reservé una estancia de tres noches en una yurta en medio del desierto de Gobi. Quizá silencio, quizá respuestas. Lo que encontré fue algo más simple: el sonido del viento atravesando la lona, el crujido del fuego encendido por un pastor nómada y la certeza de que vivir con menos es vivir más presente. Mongolia me dio el regalo de la lentitud, y ahora lo echo de menos cada vez que miro una notificación en el móvil.",ia,blog,ChatGPT 4o - Dormí en una yurta bajo las estrellas de Mongolia y esto fue lo que aprendí,
"Cada vez que corto grelos, vuelvo a la cocina de mi abuela en Lugo. Ella no medía ingredientes, “lo justo de cada cosa”, decía. El caldo gallego no era solo una receta, era una ceremonia de afecto, paciencia y conversación. Hoy la preparo con las mismas manos, pero con una báscula. No sabe igual, y eso está bien. Porque cocinar, a veces, también es aprender a honrar la imperfección.",ia,blog,ChatGPT 4o - La sopa que me hacía mi abuela: receta de caldo gallego con recuerdos incluidos,
"Todo empezó con un cajón lleno de cables que no usábamos. Lo vaciamos. Después vino el armario, la estantería del baño, la caja de “por si acaso”. Sin darnos cuenta, habíamos retirado 97 objetos que ocupaban espacio, atención y energía. El minimalismo no es decoración blanca ni vida aburrida. Es decidir qué merece tu atención. Y te aseguro que no es aquel adaptador del Nokia 2007.",ia,blog,ChatGPT 4o - Mi casa tenía 97 objetos de más (y no los echamos en falta),
"Sí, tu móvil te escucha. Pero no solo eso: sabe a qué hora sueles pedir comida, cuánto caminas cuando estás triste y si visitas a alguien todos los martes. Los permisos que aceptamos sin mirar permiten a decenas de aplicaciones construir un perfil más preciso de nosotros que nuestros propios amigos. En este post no voy a asustarte, pero sí ayudarte a entender qué cedes, y cómo puedes recuperar un poco de ese control digital perdido.",ia,blog,ChatGPT 4o - 5 cosas que tu móvil sabe de ti (y probablemente no sabías),
"¿Alguna vez te has preguntado cómo sería despertar en una ciudad diferente cada mes, con tu laptop como única ""oficina"" y el mundo entero como tu sala de juntas? Bienvenidos a mi vida de nómada digital. Hoy estoy escribiendo desde una cafetería en Lisboa, el aroma a café y pastéis de nata llenando el aire, mientras la luz dorada del sol de la mañana se filtra por la ventana. No todo es glamur y atardeceres perfectos, créeme. Hay días de incertidumbre, de buscar WiFi desesperadamente y de extrañar la estabilidad. Pero la libertad de diseñar mi propio horario y de aprender de cada cultura que me acoge es un tesoro que no cambiaría por nada. En este blog, te llevaré de la mano por mis aventuras, mis desafíos y mis descubrimientos en esta increíble travesía sin rumbo fijo.",ia,blog,Gemini 2.5 Flash - El Diario de un Nómada Digital: Cuando la Oficina Es el Mundo,
"Hay sabores que te transportan. Que no solo alimentan el cuerpo, sino que acarician el alma y te devuelven a momentos y personas que creías olvidados. Para mí, ese sabor es la tarta de manzana de mi abuela. No es solo una receta; es un ritual, una historia de manos arrugadas y de amor incondicional. Cada vez que horneo esta tarta, siento su presencia, el olor a canela y manzana asada inunda la cocina y por un momento, todo está bien. Hoy quiero compartir contigo este tesoro familiar, no solo los ingredientes y los pasos, sino también los pequeños secretos, los trucos que hacen que cada mordisco sea un abrazo cálido. Prepárate para no solo cocinar una tarta, sino para crear un recuerdo inolvidable.",ia,blog,Gemini 2.5 Flash - Recetas con Alma: La Tarta de Manzana de la Abuela que Conquista Corazones,
"¿Tu armario explota? ¿Tu casa parece un campo de batalla de objetos que no sabes dónde poner? Si la respuesta es sí, este es tu sitio. Llevo un tiempo explorando el minimalismo, no como una tendencia de moda, sino como una filosofía de vida que ha transformado mi forma de ver las possessions y, lo que es más importante, mi nivel de estrés. No se trata de vivir en blanco y negro ni de deshacerte de todo lo que posees. Se trata de ser intencional con lo que entra en tu vida y de liberar espacio (físico y mental) para lo que realmente importa. En esta primera entrada, te daré mis tres trucos infalibles para empezar a desapegarte de lo superfluo y abrirle la puerta a una vida más ligera y plena.",ia,blog,"Gemini 2.5 Flash - Minimalismo 101: Menos Cosas, Más Vida (¡Y Menos Estrés!)",
"Todos fallamos en algún momento, pero la diferencia entre quienes prosperan y quienes se quedan atrapados en la derrota está en la mentalidad. Aprender a ver los fracasos como lecciones nos permite crecer y mejorar. En esta entrada, exploraremos estrategias para cambiar la percepción del fracaso, aprender de cada experiencia y usar los tropiezos como escalones hacia el éxito.",ia,blog,"Copilot Fast - Blog de desarrollo personal - ""Cómo convertir los fracasos en oportunidades""",
"Cuando pensamos en viajar a Europa, solemos imaginar destinos como París, Roma o Londres. Pero hay lugares mágicos que pasan desapercibidos y tienen tanto encanto como las ciudades más famosas. Desde pueblos medievales en los Alpes suizos hasta costas escondidas en Grecia, este blog te llevará por rincones poco explorados que harán que tu próxima aventura sea inolvidable.",ia,blog,"Copilot Fast - Blog de viajes - ""Perdido en los rincones secretos de Europa""",
"La inteligencia artificial ya forma parte de nuestro día a día, desde asistentes virtuales hasta diagnósticos médicos avanzados. Pero, ¿hacia dónde nos dirigimos? En esta entrada, exploraremos cómo la IA podría transformar la educación, la salud y el trabajo en los próximos años. ¿Seremos testigos de una revolución digital sin precedentes?",ia,blog,"Copilot Fast - Blog de tecnología - ""El futuro de la inteligencia artificial en la vida cotidiana""",
"En un nuevo informe presentado en Ginebra, Naciones Unidas advierte que el mundo podría enfrentar una crisis generalizada de agua potable en apenas cinco años si no se aplican reformas estructurales. El estudio señala como causas principales el crecimiento demográfico, el cambio climático y la mala gestión de infraestructuras hídricas en países en desarrollo y también en regiones urbanas de países industrializados.",ia,noticia,ChatGPT 4o - La ONU alerta de una escasez global de agua potable en 2030 si no se toman medidas urgentes,
"La Comunidad de Madrid ha anunciado la apertura del Instituto Avanzado de Sistemas Autónomos, un nuevo centro puntero en investigación en robótica y automatización. El complejo, situado en Tres Cantos, contará con laboratorios de IA aplicada, simulación de enjambres de drones y robótica médica. El proyecto ha sido financiado con fondos europeos NextGenerationEU y se espera que genere más de 800 empleos directos en los próximos tres años.",ia,noticia,ChatGPT 4o - Madrid inaugura el mayor centro de investigación en robótica de Europa,
"Eurostat ha confirmado que la inflación interanual en la eurozona ha caído al 1,9% en el mes de marzo, el dato más bajo registrado desde 2021. Esta desaceleración ha sido impulsada por la caída en los precios de la energía y el transporte, aunque la alimentación aún presenta incrementos moderados. Christine Lagarde, presidenta del Banco Central Europeo, ha calificado el dato de “alentador”, aunque ha evitado hablar de bajadas inmediatas en los tipos de interés.",ia,noticia,ChatGPT 4o - La inflación en la zona euro baja por debajo del 2% por primera vez desde 2021,
"Un equipo de arqueólogos de la Universidad Nacional de San Marcos, en colaboración con expertos alemanes, ha descubierto una ciudad subterránea de origen inca en el valle sagrado de Urubamba. El enclave, que habría estado sellado durante siglos, presenta una compleja red de túneles de piedra, cámaras funerarias y una estructura ceremonial que sugiere prácticas religiosas no documentadas hasta ahora. El hallazgo podría cambiar la cronología conocida del periodo de expansión del Tahuantinsuyo.",ia,noticia,ChatGPT 4o - Descubren en Perú una ciudad subterránea inca que podría reescribir la historia del imperio,
"EL CALAFATE, Argentina – Un equipo de arqueólogos de la Universidad Nacional de la Patagonia ha anunciado hoy el descubrimiento de una vasta ciudad subterránea en una remota región de la Patagonia, al sur de El Calafate. El hallazgo, calificado como ""sin precedentes"" por los expertos, incluye una compleja red de túneles, cámaras y estructuras habitacionales que sugieren una civilización precolombina mucho más avanzada y numerosa de lo que se creía en la región. Las primeras dataciones por carbono 14 sitúan los restos más antiguos alrededor del año 500 a.C., desafiando las teorías actuales sobre los patrones de asentamiento y la capacidad tecnológica de las culturas que habitaron el extremo sur del continente americano.",ia,noticia,"Gemini 2.5 Flash - Descubren Antigua Ciudad Subterránea en la Patagonia Argentina, Podría Cambiar Percepción Histórica",
"BRUSELAS, Bélgica – Una ola de calor sin precedentes ha golpeado con fuerza a varios países europeos esta semana, con temperaturas que superan los 40 grados Celsius en España, Francia e Italia, y que han batido récords históricos en varias ciudades. Las autoridades sanitarias han emitido alertas rojas y recomendaciones urgentes a la población para evitar golpes de calor y deshidratación, especialmente entre los grupos más vulnerables como ancianos y niños. Se espera que la situación se mantenga durante al menos los próximos cinco días, lo que ha puesto en jaque los sistemas de energía y ha provocado interrupciones en el transporte en algunas zonas, reabriendo el debate sobre la urgencia de medidas más contundentes contra el cambio climático en el continente.",ia,noticia,Gemini 2.5 Flash - Ola de Calor Extrema Azota Europa con Temperaturas Récord y Alerta Sanitaria Elevada,
"SILICON VALLEY, EE. UU. – En un anuncio que podría redefinir el futuro de la movilidad eléctrica y los dispositivos portátiles, la compañía tecnológica ""Innovatech Global"" ha revelado hoy un significativo avance en el desarrollo de baterías de estado sólido. Según un comunicado oficial, la nueva tecnología promete una densidad energética un 70% superior a las baterías de iones de litio actuales, tiempos de carga reducidos a minutos y una vida útil considerablemente más larga, eliminando además el riesgo de incendio. Este hito, logrado tras años de investigación y desarrollo, podría acelerar drásticamente la adopción de vehículos eléctricos y extender la autonomía de todo tipo de dispositivos, marcando un antes y un después en la industria energética global.",ia,noticia,Gemini 2.5 Flash - Gigante Tecnológico Anuncia Avance Disruptivo en Baterías de Estado Sólido: Impacto en Movilidad Eléctrica,
"Un equipo de astrónomos ha anunciado el descubrimiento de un exoplaneta que podría albergar vida. Ubicado a 120 años luz de distancia, el planeta, llamado Kepler-482d, tiene una atmósfera rica en oxígeno y temperaturas moderadas. Los científicos están preparando nuevas observaciones para analizar su composición y determinar si existen signos de actividad biológica.",ia,noticia,"Copilot Fast - Ciencia - ""Descubren un nuevo exoplaneta con condiciones similares a la Tierra""",
"Expertos en inteligencia artificial han desarrollado un algoritmo capaz de detectar amenazas cibernéticas antes de que ocurran. La nueva tecnología analiza patrones de ataques y anticipa movimientos de hackers en tiempo real, lo que promete aumentar la protección de datos sensibles en empresas y gobiernos. La comunidad tecnológica celebra este avance como un gran paso hacia la seguridad digital global.",ia,noticia,"Copilot Fast - Tecnología - ""Un algoritmo revoluciona la seguridad cibernética""",
"El equipo nacional de España ha conseguido una victoria épica en la final del Campeonato Mundial de Fútbol, venciendo al equipo de Brasil en una tanda de penaltis llena de emoción. Con este triunfo, España se convierte en el primer país en ganar tres títulos consecutivos, consolidando su dominio en el mundo del fútbol. Los aficionados celebran en las calles mientras el equipo regresa a casa con el trofeo.",ia,noticia,"Copilot Fast - Deportes - ""Histórico triunfo en la final del campeonato mundial""",
"El barquero, un hombrecillo enjuto, con una oreja amputada, iba de puerta en puerta recibiendo encargos para Valencia, y al llegar á los espacios abiertos en la única calle del pueblo, soplaba de nuevo en la bocina para avisar su presencia á las barracas desparramadas en el borde del canal. Una nube de chicuelos casi desnudos seguía al barquero con cierta admiración. Les infundía respeto el hombre que cruzaba la Albufera cuatro veces al día, llevándose á Valencia la mejor pesca del lago y trayendo de allá los mil objetos de una ciudad misteriosa y fantástica para aquellos chiquitines criados en una isla de cañas y barro.",humano,libro,https://es.wikisource.org/wiki/Ca%C3%B1as_y_barro,
"Yo por bien tengo que cosas tan señaladas y por ventura nunca oídas ni vistas vengan a noticia de muchos y no se entierren en la sepultura del olvido, pues podría ser que alguno que las lea halle algo que le agrade y a los que no ahondaren tanto los deleite. Y a este propósito dice Plinio que no hay libro, por malo que sea, que no tenga alguna cosa buena. Mayormente que los gustos no son todos unos; mas lo que uno no come otro se pierde por ello. Y así, vemos cosas tenidas en poco de algunos que de otros no lo son. Y esto, para que ninguna cosa se debería romper ni echar a mal, si muy detestable no fuese, sino que a todos se comunicase, mayormente siendo sin perjuicio y pudiendo sacar de ella algún fruto.",humano,libro,https://es.wikisource.org/wiki/El_Lazarillo_de_Tormes/Pr%C3%B3logo,
"El 20 de agosto de 1672, la ciudad de La Haya, tan animada, tan blanca, tan coquetona que se diría que todos los días son domingo, la ciudad de La Haya con su parque umbroso, con sus grandes árboles inclinados sobre sus casas góticas, con los extensos espejos de sus canales en los que se reflejan sus campanarios de cúpulas casi orientales; la ciudad de La Haya, la capital de las siete Provincias Unidas, llenaba todas sus calles con una oleada negra y roja de ciudadanos apresurados, jadeantes, inquietos, que corrían, cuchillo al cinto, mosquete al hombro o garrote en mano, hacia la Buytenhoff, formidable prisión de la que aún se conservan hoy día las ventanas enrejadas y donde, desde la acusación de asesinato formulada contra él por el cirujano Tyckelaer, languidecía Corneille de Witt, hermano del ex gran pensionario de Holanda.",humano,libro,https://es.wikisource.org/wiki/El_tulip%C3%A1n_negro/Cap%C3%ADtulo_I,
"Gabriel paseó largo rato por la desierta plazuela, subiéndose hasta las cejas el embozo de la capa, mientras tosía con estremecimientos dolorosos. Sin dejar de andar, para defenderse del frío, contemplaba la gran puerta llamada del Perdón, la única fachada de la iglesia que ofrece un aspecto monumental. Recordaba otras catedrales famosas, aisladas, en lugar preeminente, presentando libres todos sus costados, con el orgullo de su belleza, y las comparaba con la de Toledo, la iglesia-madre española, ahogada por el oleaje de apretados edificios que la rodean y parecen caer sobre sus flancos, adhiriéndose a ellos, sin dejarla mostrar sus galas exteriores más que en el reducido espacio de las callejuelas que la oprimen. Gabriel, que conocía su hermosura interior, pensaba en las viviendas engañosas de los pueblos orientales, sórdidas y miserables por fuera, cubiertas de alabastros y filigranas por dentro. No en balde habían vivido en Toledo, durante siglos, judíos y moros. Su aversión a las suntuosidades exteriores parecía haber inspirado la obra de la catedral, ahogada por el caserío que se empuja y arremolina en torno de ella como si buscase su sombra.",humano,libro,https://es.wikisource.org/wiki/La_catedral/I,
"No se necesitaba ser un gran fisonomista para comprender, por la cara de un hombre que recorría a cortos pasos la calle de Carretas de Madrid, en una mañana de enero, que aquel hombre se aburría soberanamente; y bastaba reparar un instante en el corte atrasadillo de su vestido, chillón y desentonado, para conocer que el tal sujeto no solamente no era madrileño, pero ni siquiera provinciano de ciudad. Sin embargo, ni de su aire ni de su rostro podía deducirse que fuera un palurdo. Era alto, bien proporcionado y garboso, y se fijaba en personas y en objetos, no con el afán del aldeano que de todo se asombra, sino con la curiosidad del que encuentra lo que, en su concepto, es natural que se encuentre en el sitio que recorre, por más que le sea desconocido.",humano,libro,https://es.wikisource.org/wiki/La_mujer_del_C%C3%A9sar/01,
"El cuarto era una guardilla trastera, baja de techo, con una gran ventana a un patio. El centro del cuarto lo ocupaban dos estatuas de barro, de un armazón interior de alambre, dos figuras de tamaño mayor que el natural, descomunales y estrambóticas, que estaban solamente esbozadas, como si el autor no hubiera querido acabarlas; eran dos gigantes rendidos por el cansancio, los dos de cabeza pequeña y rapada, pecho hundido y vientre abultado y largos brazos simiescos. Los dos parecían agobiados por el abatimiento profundo. Frente a la ventana, ancha, había un sofá tapizado con una percalina floreada; en las sillas y en el suelo se levantaban estatuas medio envueltas en trapos húmedos; en un ángulo aparecía una caja llena de pedazos secos de escayola, y en un rincón, un lebrillo con barro.",humano,libro,https://es.wikisource.org/wiki/Mala_hierba/Parte_I/I,
"Nací en 1632, en la ciudad de York, de una buena familia, aunque no de la región, pues mi padre era un extranjero de Brema que, inicialmente, se asentó en Hull. Allí consiguió hacerse con una considerable fortuna como comerciante y, más tarde, abandonó sus negocios y se fue a vivir a York, donde se casó con mi madre, que pertenecía a la familia Robinson, una de las buenas familias del condado de la cual obtuve mi nombre, Robinson Kreutznaer. Mas, por la habitual alteración de las palabras que se hace en Inglaterra, ahora nos llaman y nosotros también nos llamamos y escribimos nuestro nombre Crusoe; y así me han llamado siempre mis compañeros.",humano,libro,https://es.wikisource.org/wiki/Robinson_Crusoe/1,
"Mis amigos conocen ya, por lo que de él se me antojó referirles, a D. Francisco Torquemada, a quien algunos historiadores inéditos de estos tiempos llaman Torquemada el Peor. ¡Ay de mis buenos lectores si conocen al implacable fogonero de vidas y haciendas por tratos de otra clase, no tan sin malicia, no tan desinteresados como estas inocentes relaciones entre narrador y lector! Porque si han tenido algo que ver con él en cosa de más cuenta; si le han ido a pedir socorro en las pataletas de la agonía pecuniaria, más les valiera encomendarse a Dios y dejarse morir. Es Torquemada el habilitado de aquel infierno en que fenecen desnudos y fritos los deudores; hombres de más necesidades que posibles; empleados con más hijos que sueldo; otros ávidos de la nómina tras larga cesantía; militares trasladados de residencia, con familión y suegra por añadidura; personajes de flaco espíritu, poseedores de un buen destino, pero con la carcoma de una mujercita que da tés y empeña el verbo para comprar las pastas; viudas lloronas que cobran el Montepío civil o militar y se ven en mil apuros; sujetos diversos que no aciertan a resolver el problema aritmético en que se funda la existencia social, y otros muy perdidos, muy faltones, muy destornillados de cabeza o rasos de moral, tramposos y embusteros.",humano,libro,https://es.wikisource.org/wiki/Torquemada_en_la_hoguera/I,
"El año 1866 quedó caracterizado por un extraño acontecimiento, por un fenómeno inexplicable e inexplicado que nadie, sin duda, ha podido olvidar. Sin hablar de los rumores que agitaban a las poblaciones de los puertos y que sobreexcitaban a los habitantes del interior de los continentes, el misterioso fenómeno suscitó una particular emoción entre los hombres del mar. Negociantes, armadores, capitanes de barco, skippers y masters de Europa y de América, oficiales de la marina de guerra de todos los países y, tras ellos, los gobiernos de los diferentes Estados de los dos continentes, manifestaron la mayor preocupación por el hecho.",humano,libro,https://es.wikisource.org/wiki/Veinte_mil_leguas_de_viaje_submarino/Primera_parte:_Cap%C3%ADtulo_I,
"Mi padre, cuya hacienda en la provincia de Nottinghan era moderada, tenía cinco hijos: yo era el tercero. A la edad de catorce años me envió al Colegio de Emmanuel en Cambridge. Allí cumplí los diez y siete; pero, siendo demasiado el gasto de mi manutención, determinó trasladarme a la casa del señor Santiago Bates, famoso cirujano en Londres, en clase de discípulo, donde permanecí otros cuatro años. Mi padre me enviaba de vez en cuando algunas partidillas de dinero que empleaba en aprender el pilotaje y las matemáticas, lo más necesario para los que se forman el designio de viajar por mar, como que preveía que había de ser éste mi destino. Habiendo dejado al señor Bates, me volví a la casa de mi padre; y tanto de él como de mi tío Juan y algunos otros parientes, pude recoger hasta cuarenta libras esterlinas con la promesa de otras treinta por año para mante- nerme en Leiden. Pasé allá, y me apliqué al estudio de la Medicina por espacio de dos años y siete meses, persuadido de que podría serme útil algún día en mis viajes.",humano,libro,https://es.wikisource.org/wiki/Viajes_de_Gulliver/Primera_parte/I,
"Las unidades de “primera clase” se dividen en dos categorías: yo pertenezco a la mejor, a la de más rancia y pura aristocracia, y las letras A A. que exornan mis portezuelas pregonan mi alcurnia. El “cuarto-tocador” ocupa uno de mis extremos, y en el centro—lugar el menos trepidante—llevo un “departamento-cama”. Mi interior, dividido en seis compartimientos, es bello y blando, acariciador, confortador, lleno de previsiones; femenino, en suma: los asientos, que fácilmente pueden ancharse y convertirse en lechos; los almohadones mullidos; la curvatura, propicia al descanso, de los respaldos; las abrazaderas, sobre las que el viajero podrá descansar un brazo; los ceniceros; la mesita que adorna la entreventana; las cortinas, que modifican la luz solar; los tubos de la calefacción; los timbres de alarma; los espejos biselados; los anuncios polícromos y las fotografías de lugares célebres, que exornan mi tránsito; el silencio y precisión con que las puertas se cierran y ajustan a sus marcos...; todo, en fin, descubre en mí un alma “de hogar”. En invierno, especialmente y de noche, cuando el frío escarcha los cristales y la máquina me envía a raudales generosos su calor, y todos mis inquilinos duermen, y las manos de los enamorados se buscan enceladas y febriles bajo las{8} mantas, entonces mis compartimientos parecen alcobas sobre cuya tonalidad gris mis linternas, medio cerradas, semejantes a párpados indolentes, vertiesen una casi imperceptible llovizna de luz. ¡Bello y rotundo contraste!... Fuera de mí, el movimiento, la lucha, el peligro, la obscuridad, el fragor tronitronante de los puentes, el estrépito ensordecedor de los túneles, la lluvia, el granizo, la nieve, los vientos helados, la interminable conquista de la tierra; y, dentro, la paz, el reposo, el bienestar de las actitudes cómodas, el aire tibio, “la alegría de llegar”, con que cada alma viajera se echó a dormir. ¡Ah!... Cuando me autoinspecciono y me escucho vivir así, con esta doble vida tan plena, tan útil, pienso que yo, todo “mi yo”, acogedor y bueno, es un corazón.",humano,libro,https://www.gutenberg.org/cache/epub/62840/pg62840-images.html,
"Yo creo que en tan desigual enlace quien salió perdiendo fue la confitera. Poseedora de las cualidades morales que faltaban a su marido; hacendosa, recta y cristiana a carta cabal, mi madre vivió sola, despreciada, maltratada y faltándole cariño, consagró el suyo entero a mi hermana y a mí. Digo mal: yo fui el preferido, el único amado tal vez, porque mi hermana, que pecaba de intrigante y chismosuela, fue desde pequeñita el ojo derecho de mi padre. Mi niñez corrió triste, viendo a mamá esconderse para llorar por los rincones de la casa, y echándome a temblar cuando papá gritaba y maldecía y soltaba cada terno que se venía abajo la bóveda celeste; pues una de las peores mañas del autor de mis días era jurar como un carretero desde que abría la boca; y recuerdo que mi madre me inculcó el odio a tan feo vicio, hasta hacerme caer en el extremo de considerar los juramentos, las blasfemias y las palabras soeces como el mayor y más estúpido pecado que puede cometer el hombre. Esta y las demás enseñanzas de mi madre se me grabaron indeleblemente, viniendo a ser la base de mis convicciones y principios; así como en el fondo de mi carácter quedó una blandura y un apocamiento, que atribuyo a haberme ensopado y reblandecido el corazón los terrores y las lágrimas maternales. Mi madre era mujer chapada a la antigua, e hizo predominar en mí el elemento tradicional sobre el innovador; porque (ahora lo discierno claramente) no cabía en sus facultades equilibrar los dos de tal manera que yo me encontrase en condiciones favorables para vivir en la época que Dios había señalado a mi paso por el mundo. Aprendí de mi madre la probidad, el horror a las deudas, el respeto de los contratos y de la honra de las mujeres, la modestia, la economía, la frugalidad, la veracidad, virtudes que adornan a la grave raza castellana, aunque se atribuyan en general a la ibérica. También me fue inculcado por mi madre otro sentimiento nada común en la sociedad actual: una consideración profunda por las personas de elevado nacimiento, unida a cierto democrático individualismo y a mucha llaneza con los inferiores. En cuanto a la enseñanza religiosa, por entero la debí a mi madre: ella me obligó a aprender de memoria el Catecismo, me hizo rezar diariamente el Rosario, me leyó en el Año Cristiano las vidas de los Santos y en el Kempis los capítulos referentes a la resignación, a la humilde sujeción, al hombre bueno y pacífico, a la tolerancia de las injurias, al puro corazón y la intención sencilla. Tales doctrinas prendieron en mí maravillosamente: sin duda existía oculta conformidad entre ellas y mi carácter; por lo cual llegué a imaginarme (a posteriori) que me hubiese convenido más ser amamantado en principios de energía, acción y violencia, porque hallándose estos en pugna con mi condición natural, se establecería el provechoso equilibrio donde quizá reside el secreto de la armonía, perfección y felicidad humana. Someto este problema a los doctos, y paso adelante.",humano,libro,https://es.wikisource.org/wiki/Do%C3%B1a_Milagros/02,
"—El interés de la historia que va a oir—explicó él entonces—hállase para usted en su vinculación con el mensaje que le he traído. No sé si usted llegará a entender por completo, ahora; aunque sabe muy bien que el destino de los seres contemporáneos, principalmente si son del mismo país y del mismo grupo social o profesional, suele hallarse ligado por antecedentes misteriosos que el instinto revela bajo el nombre de simpatía, o que armonizan desde la sombra ciertas entidades llamadas ""ángeles de compasión"". Pero lo que usted ignora, quizá, es que dichas criaturas encarnan a veces, o para ser amadas, y entonces truécanse en los ""ángeles de adoración"" cuyo tipo fué Beatriz, o para amar con amor humano, bajo la noble designación de ""ángeles de sacrificio"". Y estos seres vienen siempre a la tierra bajo forma de mujer.",humano,libro,https://es.wikisource.org/wiki/El_Angel_de_la_Sombra/II,
"El 24 de febrero de 1815, el vigía de Nuestra Señora de la Guarda dio la señal de que se hallaba a la vista el bergantín El Faraón procedente de Esmirna, Trieste y Nápoles. Como suele hacerse en tales casos, salió inmediatamente en su busca un práctico, que pasó por delante del castillo de If y subió a bordo del buque entre la isla de Rión y el cabo Mongión. En un instante, y también como de costumbre, se llenó de curiosos la plataforma del castillo de San Juan, porque en Marsella se daba gran importancia a la llegada de un buque y sobre todo si le sucedía lo que al Faraón, cuyo casco había salido de los astilleros de la antigua Focia y pertenecía a un naviero de la ciudad. Mientras tanto, el buque seguía avanzando; habiendo pasado felizmente el estrecho producido por alguna erupción volcánica entre las islas de Calasapeigne y de Jaros, dobló la punta de Pomegue hendiendo las olas bajo sus tres gavias, su gran foque y la mesana. Lo hacía con tanta lentitud y tan penosos movimientos, que los curiosos, que por instinto presienten la desgracia, preguntábanse unos a otros qué accidente podía haber sobrevenido al buque. Los más peritos en navegación reconocieron al punto que, de haber sucedido alguna desgracia, no debía de haber sido al buque, puesto que, aun cuando con mucha lentitud, seguía éste avanzando con todas las condiciones de los buques bien gobernados.",humano,libro,https://es.wikisource.org/wiki/El_conde_de_Montecristo/1-01,
